OverallQual,HeatingQC,MSSubClass,BsmtQual,GarageFinish,Neighborhood,Exterior1st,GarageCars,FullBath,Dure_house,TotRmsAbvGrd,Dure_garage
5.0,2.0,20.0,3.0,2.0,0.1481164383561644,0.15496575342465754,0.25,0.3333333333333333,0.8852459016393444,0.24999999999999997,0.49532710280373826
6.0,3.0,60.0,4.0,2.0,0.3595890410958904,0.05565068493150685,0.5,0.6666666666666666,0.26229508196721313,0.41666666666666663,0.14953271028037382
5.0,3.0,30.0,2.0,0.0,0.1481164383561644,0.07448630136986302,0.0,0.3333333333333333,0.9672131147540984,0.16666666666666666,0.9999999999999999
5.0,4.0,50.0,4.0,1.0,0.1464041095890411,0.01797945205479452,0.25,0.3333333333333333,0.9508196721311476,0.41666666666666663,0.6355140186915887
5.0,2.0,50.0,3.0,1.0,0.03424657534246575,0.01797945205479452,0.25,0.6666666666666666,1.0,0.33333333333333337,0.8037383177570093
5.0,2.0,20.0,3.0,1.0,0.3595890410958904,0.09845890410958905,0.5,0.3333333333333333,0.5737704918032788,0.24999999999999997,0.2897196261682243
6.0,4.0,60.0,4.0,3.0,0.3595890410958904,0.05565068493150685,0.5,0.6666666666666666,0.0819672131147541,0.33333333333333337,0.037383177570093455
4.0,3.0,50.0,3.0,1.0,0.3595890410958904,0.02226027397260274,0.25,0.3333333333333333,0.06557377049180328,0.41666666666666663,0.822429906542056
6.0,2.0,20.0,4.0,3.0,0.1481164383561644,0.05650684931506849,0.5,0.6666666666666666,0.459016393442623,0.41666666666666663,0.2523364485981308
8.0,4.0,20.0,4.0,3.0,0.038527397260273974,0.059075342465753425,0.5,0.6666666666666666,0.01639344262295082,0.41666666666666663,0.0
6.0,3.0,85.0,3.0,1.0,0.3595890410958904,0.04965753424657534,0.25,0.3333333333333333,0.6885245901639345,0.33333333333333337,0.1588785046728972
5.0,2.0,80.0,3.0,2.0,0.3595890410958904,0.15496575342465754,0.5,0.3333333333333333,0.6721311475409837,0.33333333333333337,0.37383177570093457
7.0,2.0,20.0,4.0,2.0,0.06934931506849315,0.05650684931506849,0.5,0.6666666666666666,0.5245901639344263,0.41666666666666663,0.2897196261682243
7.0,2.0,60.0,3.0,1.0,0.1506849315068493,0.15496575342465754,0.5,0.6666666666666666,0.3278688524590164,0.41666666666666663,0.411214953271028
7.0,2.0,20.0,3.0,1.0,0.1506849315068493,0.05650684931506849,0.5,0.3333333333333333,0.6229508196721312,0.33333333333333337,0.34579439252336447
6.0,4.0,60.0,4.0,2.0,0.3595890410958904,0.05565068493150685,0.5,0.6666666666666666,0.13114754098360656,0.5,0.06542056074766354
6.0,2.0,20.0,4.0,1.0,0.1464041095890411,0.03767123287671233,0.5,0.6666666666666666,0.9016393442622952,0.41666666666666663,0.5046728971962616
5.0,2.0,20.0,3.0,2.0,0.1481164383561644,0.0779109589041096,0.5,0.3333333333333333,0.22950819672131148,0.16666666666666666,0.4205607476635514
6.0,2.0,60.0,3.0,3.0,0.1506849315068493,0.07448630136986302,0.5,0.3333333333333333,0.5409836065573771,0.33333333333333337,0.29906542056074764
6.0,2.0,20.0,4.0,3.0,0.3595890410958904,0.023972602739726026,0.5,0.6666666666666666,0.3770491803278689,0.41666666666666663,0.205607476635514
5.0,1.0,45.0,3.0,1.0,0.1464041095890411,0.03767123287671233,0.25,0.3333333333333333,0.9508196721311476,0.24999999999999997,0.7570093457943925
5.0,2.0,90.0,3.0,1.0,0.1481164383561644,0.15496575342465754,1.0,0.6666666666666666,0.6721311475409837,0.8333333333333334,0.37383177570093457
5.0,4.0,50.0,3.0,1.0,0.1481164383561644,0.038527397260273974,0.25,0.3333333333333333,0.9344262295081968,0.5,0.7289719626168224
6.0,4.0,60.0,4.0,3.0,0.3595890410958904,0.05565068493150685,0.5,0.6666666666666666,0.01639344262295082,0.5,0.018691588785046728
7.0,4.0,20.0,4.0,2.0,0.3595890410958904,0.03767123287671233,0.5,0.6666666666666666,0.11475409836065574,0.24999999999999997,0.05607476635514018
7.0,4.0,160.0,4.0,2.0,0.1481164383561644,0.059075342465753425,0.5,0.6666666666666666,0.01639344262295082,0.24999999999999997,0.009345794392523364
7.0,2.0,20.0,4.0,3.0,0.03424657534246575,0.03767123287671233,0.5,0.6666666666666666,0.14754098360655737,0.41666666666666663,0.47663551401869153
