Exterior1st,MSSubClass,Neighborhood,OverallQual,BsmtQual,HeatingQC,FullBath,TotRmsAbvGrd,GarageFinish,GarageCars,YearBuilt,GarageYrBlt,YrSold,SalePrice
VinylSd,60,CollgCr,7,Gd,Ex,2,8,RFn,2,2003,2003,2008,208500
MetalSd,20,Veenker,6,Gd,Ex,2,6,RFn,2,1976,1976,2007,181500
VinylSd,60,CollgCr,7,Gd,Ex,2,6,RFn,2,2001,2001,2008,223500
Wd Sdng,70,Crawfor,7,TA,Gd,1,7,Unf,3,1915,1998,2006,140000
VinylSd,60,NoRidge,8,Gd,Ex,2,9,RFn,3,2000,2000,2008,250000
VinylSd,50,Mitchel,5,Gd,Ex,1,5,Unf,2,1993,1993,2009,143000
VinylSd,20,Somerst,8,Ex,Ex,2,7,RFn,2,2004,2004,2007,307000
HdBoard,60,NWAmes,7,Gd,Ex,2,7,RFn,2,1973,1973,2009,200000
BrkFace,50,OldTown,7,TA,Gd,2,8,Unf,2,1931,1931,2008,129900
MetalSd,190,BrkSide,5,TA,Ex,1,5,RFn,1,1939,1939,2008,118000
HdBoard,20,Sawyer,5,TA,Ex,1,5,Unf,1,1965,1965,2008,129500
WdShing,60,NridgHt,9,Ex,Ex,3,11,Fin,3,2005,2005,2006,345000
HdBoard,20,Sawyer,5,TA,TA,1,4,Unf,1,1962,1962,2008,144000
VinylSd,20,CollgCr,7,Gd,Ex,2,7,RFn,3,2006,2006,2007,279500
MetalSd,20,NAmes,6,TA,TA,1,5,RFn,1,1960,1960,2008,157000
Wd Sdng,45,BrkSide,7,TA,Ex,1,5,Unf,2,1929,1991,2007,132000
Wd Sdng,20,NAmes,6,TA,Ex,1,5,Fin,2,1970,1970,2010,149000
MetalSd,90,Sawyer,4,NA,TA,2,6,Unf,2,1967,1967,2006,90000
VinylSd,20,SawyerW,5,TA,Ex,1,6,Unf,2,2004,2004,2008,159000
BrkFace,20,NAmes,5,TA,TA,1,6,Unf,1,1958,1958,2009,139000
VinylSd,60,NridgHt,8,Ex,Ex,3,9,RFn,3,2005,2005,2006,325300
Wd Sdng,45,IDOTRR,7,TA,Ex,1,6,Unf,1,1930,1930,2007,139400
VinylSd,20,CollgCr,8,Gd,Ex,2,7,RFn,2,2002,2002,2008,230000
CemntBd,120,MeadowV,5,Gd,TA,1,6,Unf,2,1976,1976,2007,129900
Plywood,20,Sawyer,5,TA,Ex,1,6,Unf,1,1968,1968,2010,154000
VinylSd,20,NridgHt,8,Gd,Ex,2,7,RFn,3,2007,2007,2009,256300
Wd Sdng,20,NAmes,5,TA,TA,1,5,Unf,2,1951,2005,2010,134800
VinylSd,20,NridgHt,8,Ex,Ex,2,7,RFn,3,2007,2008,2010,306000
MetalSd,20,NAmes,5,TA,TA,1,6,RFn,1,1957,1957,2006,207500
MetalSd,30,BrkSide,4,TA,Fa,1,4,Unf,1,1927,1920,2008,68500
BrkFace,70,IDOTRR,4,TA,TA,1,6,Unf,1,1920,1920,2008,40000
HdBoard,20,Sawyer,5,TA,Gd,1,6,Unf,1,1966,1966,2008,149350
VinylSd,20,CollgCr,8,Ex,Ex,2,7,RFn,2,2007,2007,2008,179900
BrkFace,20,NAmes,5,TA,Gd,1,6,RFn,2,1959,1959,2010,165500
MetalSd,120,NridgHt,9,Ex,Ex,2,6,Fin,2,2005,2005,2007,277500
VinylSd,60,NridgHt,8,Ex,Ex,3,9,Fin,3,2004,2004,2006,309000
VinylSd,20,CollgCr,5,Gd,Ex,1,6,Unf,2,1994,1995,2009,145000
Wd Sdng,20,NAmes,5,TA,Gd,1,5,Fin,2,1954,1954,2009,153000
VinylSd,20,NAmes,5,TA,TA,1,5,Unf,1,1953,1953,2010,109000
AsbShng,90,Edwards,4,NA,TA,2,6,NA,0,1955,NA,2008,82000
Wd Sdng,20,NAmes,6,TA,Ex,2,6,RFn,2,1965,1965,2006,160000
VinylSd,20,Timber,5,TA,Gd,1,5,RFn,1,1959,1959,2007,170000
HdBoard,85,SawyerW,5,Gd,Gd,1,5,RFn,2,1983,1983,2007,144000
