OverallQual,Neighborhood,GarageCars,BsmtQual,KitchenQual,ExterQual,GarageArea,FullBath,GarageFinish,Dure_garage,GarageType,Foundation,FireplaceQu,TotRmsAbvGrd,MSSubClass,Dure_house,HeatingQC,BsmtFinType1,Fireplaces,Exterior1st,Exterior2nd,MasVnrType,GrLivArea,MSZoning,OverallCond,HouseStyle,BsmtExposure,SaleCondition,SaleType,GarageCond,2ndFlrSF,TotalBsmtSF,LotShape,GarageQual,CentralAir,HalfBath,LotFrontage,Fence,Electric,OpenPorchSF,Electrical
5,NAmes,1,TA,TA,TA,294,1,RFn,53,Attchd,CBlock,nonappli,5,20,53,TA,Rec,0,MetalSd,MetalSd,None,1314,RL,6,1Story,No,Normal,WD,TA,0,1314,Reg,TA,Y,0,70,nonappli,SBrkr,0,SBrkr
6,Gilbert,2,Gd,TA,Gd,380,2,RFn,16,Attchd,PConc,TA,7,60,15,Gd,Unf,1,VinylSd,VinylSd,None,1571,RL,7,2Story,No,Normal,WD,TA,772,799,IR1,TA,Y,1,59,nonappli,SBrkr,40,SBrkr
5,Edwards,0,Fa,TA,TA,0,1,nonappli,-9.22E+18,nonappli,CBlock,nonappli,4,30,58,Gd,Unf,0,MetalSd,Wd Sdng,None,796,RL,7,1Story,No,Normal,WD,nonappli,0,796,Reg,nonappli,Y,0,67,MnPrv,FuseA,0,FuseA
5,SWISU,1,Gd,Gd,TA,240,1,Unf,68,Detchd,BrkTil,TA,7,50,57,Ex,ALQ,2,Wd Sdng,Wd Sdng,BrkFace,1768,RL,7,1.5Fin,No,Normal,WD,TA,787,731,Reg,TA,Y,1,60,MnPrv,SBrkr,0,SBrkr
5,SWISU,1,TA,Gd,TA,308,2,Unf,86,Detchd,BrkTil,Gd,6,50,60,TA,LwQ,1,BrkFace,Wd Sdng,None,1691,RL,6,1.5Fin,No,Normal,WD,TA,665,1026,Reg,TA,Y,0,50,nonappli,SBrkr,0,SBrkr
5,CollgCr,2,TA,TA,TA,552,1,Unf,31,Attchd,PConc,nonappli,5,20,34,TA,ALQ,0,VinylSd,VinylSd,None,894,RL,7,1Story,No,Abnorml,WD,TA,0,894,Reg,TA,Y,0,70,GdWo,SBrkr,0,SBrkr
6,Gilbert,2,Gd,Gd,Gd,400,2,Fin,4,BuiltIn,PConc,Gd,6,60,4,Ex,Unf,1,VinylSd,VinylSd,None,1560,RL,5,2Story,Av,Normal,WD,TA,876,684,IR2,TA,Y,1,122,nonappli,SBrkr,38,SBrkr
4,IDOTRR,1,TA,Gd,TA,240,1,Unf,88,Detchd,BrkTil,nonappli,7,50,3,Gd,BLQ,0,VinylSd,VinylSd,None,1154,RM,8,1.5Fin,No,Normal,WD,TA,358,796,Reg,TA,Y,0,40,MnPrv,SBrkr,96,SBrkr
6,NWAmes,2,Gd,Gd,TA,576,2,Fin,27,Attchd,CBlock,TA,7,20,27,TA,GLQ,1,MetalSd,MetalSd,BrkFace,1422,RL,6,1Story,No,Normal,WD,TA,0,1422,IR1,TA,Y,0,78,GdPrv,SBrkr,0,SBrkr
8,Somerst,2,Gd,Gd,Gd,474,2,Fin,0,Attchd,PConc,nonappli,7,20,0,Ex,Unf,0,CemntBd,CmentBd,Stone,1496,RL,5,1Story,Av,Partial,New,TA,0,1496,Reg,TA,Y,0,76,nonappli,SBrkr,130,SBrkr
6,Sawyer,1,TA,TA,TA,240,1,Unf,17,Detchd,CBlock,nonappli,6,85,41,Gd,LwQ,0,VinylSd,VinylSd,None,913,RL,5,SFoyer,Gd,Normal,WD,TA,0,814,Reg,TA,Y,0,70,nonappli,SBrkr,0,SBrkr
5,NAmes,2,TA,TA,TA,484,1,RFn,40,Attchd,CBlock,Gd,6,80,40,TA,ALQ,1,VinylSd,VinylSd,BrkFace,1086,RL,5,SLvl,Av,Normal,WD,TA,0,1024,Reg,TA,Y,0,85,GdWo,SBrkr,0,SBrkr
7,NWAmes,2,Gd,TA,TA,478,2,RFn,31,Attchd,CBlock,TA,7,20,31,TA,ALQ,1,Plywood,Plywood,BrkFace,1601,RL,5,1Story,No,Abnorml,COD,TA,0,1271,IR1,TA,Y,0,82,nonappli,SBrkr,0,SBrkr
7,NAmes,2,TA,TA,TA,486,2,Unf,44,Attchd,CBlock,Fa,7,60,19,TA,BLQ,3,HdBoard,HdBoard,BrkFace,1986,RL,6,2Story,No,Normal,WD,TA,800,768,Reg,TA,Y,1,85,nonappli,SBrkr,42,SBrkr
7,NWAmes,2,TA,TA,TA,528,1,Unf,37,Attchd,CBlock,nonappli,6,20,37,TA,Unf,0,HdBoard,HdBoard,BrkFace,1164,RL,5,1Story,No,Normal,COD,TA,0,1164,Reg,TA,Y,1,80,nonappli,SBrkr,0,SBrkr
6,Gilbert,2,Gd,Gd,Gd,390,2,RFn,7,BuiltIn,PConc,TA,8,60,7,Ex,Unf,1,VinylSd,VinylSd,None,2267,RL,5,2Story,No,Normal,ConLI,TA,1257,1010,IR1,TA,Y,1,313,nonappli,SBrkr,46,SBrkr
6,Crawfor,2,Gd,Gd,TA,450,2,Unf,54,Basment,CBlock,Gd,7,20,54,TA,ALQ,2,Wd Sdng,Wd Sdng,BrkFace,2259,RL,5,1Story,Mn,Abnorml,COD,TA,0,1809,Reg,TA,Y,0,313,MnPrv,SBrkr,120,SBrkr
5,OldTown,2,TA,TA,TA,720,1,RFn,45,Detchd,CBlock,nonappli,4,20,13,TA,LwQ,0,MetalSd,MetalSd,None,825,RM,7,1Story,No,Normal,WD,TA,0,825,IR1,TA,Y,0,49,MnPrv,SBrkr,50,SBrkr
6,Edwards,2,TA,TA,TA,440,1,Fin,32,Attchd,CBlock,nonappli,6,60,32,TA,BLQ,0,HdBoard,Plywood,BrkFace,1426,RL,6,2Story,No,Normal,WD,TA,728,690,IR1,TA,Y,1,75,MnPrv,SBrkr,0,SBrkr
6,Timber,2,Gd,TA,TA,616,2,Fin,22,Attchd,CBlock,TA,7,20,22,TA,ALQ,1,VinylSd,Plywood,Stone,1651,RL,5,1Story,No,Normal,WD,TA,0,1606,IR1,TA,Y,0,47,nonappli,SBrkr,0,SBrkr
5,Crawfor,1,TA,TA,TA,200,1,Unf,81,Detchd,BrkTil,nonappli,5,45,57,Fa,Unf,0,Wd Sdng,Wd Sdng,None,789,RL,5,1.5Unf,No,Normal,WD,Po,0,768,Reg,Po,N,0,55,MnPrv,SBrkr,0,SBrkr
5,NAmes,4,TA,TA,TA,968,2,Unf,40,Detchd,CBlock,nonappli,12,90,40,TA,LwQ,0,MetalSd,MetalSd,BrkFace,2634,RL,5,2Story,No,Normal,WD,TA,1296,1248,Reg,TA,Y,2,91,nonappli,SBrkr,0,SBrkr
5,BrkSide,1,TA,TA,TA,225,1,Unf,78,Detchd,BrkTil,Gd,8,50,56,Ex,Unf,1,MetalSd,MetalSd,None,1576,RM,6,1.5Fin,No,Family,WD,TA,534,1042,Reg,TA,Y,0,52,nonappli,SBrkr,0,SBrkr
