Id,OverallQual,OverallCond,ExterQual,ExterCond,BsmtQual,BsmtCond,HeatingQC,BsmtExposure,BsmtFinType1,BsmtFinType2,RoofMatl,Foundation,Heating,Electrical,MasVnrType,MasVnrArea,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,LowQualFinSF,CentralAir,SalePrice
255,5,6,3,4,3,3,3,0,2,0,0.9837328767123288,0.4315068493150685,0.976027397260274,0.9169520547945206,0.5796232876712328,0.0,922,0,392,1314,1314,0,0,1,145000
1067,6,7,4,3,4,3,4,0,0,0,0.9837328767123288,0.4452054794520548,0.976027397260274,0.9169520547945206,0.5796232876712328,0.0,0,0,799,799,799,772,0,1,178000
639,5,7,3,3,2,3,4,0,0,0,0.9837328767123288,0.4315068493150685,0.976027397260274,0.059075342465753425,0.5796232876712328,0.0,0,0,796,796,796,0,0,1,85000
800,5,7,3,3,4,3,5,0,4,0,0.9837328767123288,0.09931506849315068,0.976027397260274,0.9169520547945206,0.3133561643835616,252.0,569,0,162,731,981,787,0,1,175000
381,5,6,3,3,3,3,3,0,1,0,0.9837328767123288,0.09931506849315068,0.976027397260274,0.9169520547945206,0.5796232876712328,0.0,218,0,808,1026,1026,665,0,1,127000
304,5,7,3,3,3,3,3,0,4,0,0.9837328767123288,0.4452054794520548,0.976027397260274,0.9169520547945206,0.5796232876712328,0.0,894,0,0,894,894,0,0,1,149900
87,6,5,4,3,4,3,5,2,0,0,0.9837328767123288,0.4452054794520548,0.976027397260274,0.9169520547945206,0.5796232876712328,0.0,0,0,684,684,684,876,0,1,174000
1386,4,8,3,4,3,3,4,0,3,0,0.9837328767123288,0.09931506849315068,0.976027397260274,0.9169520547945206,0.5796232876712328,0.0,735,0,61,796,796,358,0,1,125500
266,6,6,3,4,4,3,3,0,5,1,0.9837328767123288,0.4315068493150685,0.976027397260274,0.9169520547945206,0.3133561643835616,210.0,588,228,606,1422,1422,0,0,1,175500
794,8,5,4,3,4,3,5,2,0,0,0.9837328767123288,0.4452054794520548,0.976027397260274,0.9169520547945206,0.09075342465753425,140.0,0,0,1496,1496,1496,0,0,1,225000
1446,6,5,3,3,3,3,4,3,1,2,0.9837328767123288,0.4315068493150685,0.976027397260274,0.9169520547945206,0.5796232876712328,0.0,187,627,0,814,913,0,0,1,129000
809,5,5,3,3,3,3,3,2,4,3,0.9837328767123288,0.4315068493150685,0.976027397260274,0.9169520547945206,0.3133561643835616,1047.0,516,128,380,1024,1086,0,0,1,159950
1100,7,5,3,3,4,3,3,0,4,0,0.9837328767123288,0.4315068493150685,0.976027397260274,0.9169520547945206,0.3133561643835616,206.0,704,0,567,1271,1601,0,0,1,157000
606,7,6,3,3,3,3,3,0,3,0,0.9837328767123288,0.4315068493150685,0.976027397260274,0.9169520547945206,0.3133561643835616,176.0,454,0,314,768,1186,800,0,1,205000
